orgao,descritor,modelo,n_splits_cv,balanced_accuracy_cv_mean,balanced_accuracy_cv_std,test_balanced_accuracy,test_f1_macro,test_auc_roc_macro,test_auc_pr_macro,test_sensitivity_mean,test_specificity_mean,melhores_hiperparametros
liver,textura,SVM,4,0.459,0.134,0.356,0.305,0.573,0.407,0.356,0.676,"{'svm__C': 10, 'svm__kernel': 'linear'}"
liver,textura,RandomForest,4,0.392,0.064,0.259,0.268,0.304,0.341,0.259,0.59,"{'rf__max_depth': 5, 'rf__n_estimators': 100}"
liver,textura,XGBoost,4,0.353,0.038,0.359,0.363,0.334,0.368,0.359,0.689,"{'xgb__max_depth': 5, 'xgb__n_estimators': 100}"
liver,forma,SVM,4,0.401,0.164,0.4,0.239,0.775,0.495,0.4,0.74,"{'svm__C': 0.1, 'svm__kernel': 'linear'}"
liver,forma,RandomForest,4,0.37,0.045,0.437,0.31,0.57,0.394,0.437,0.776,"{'rf__max_depth': 5, 'rf__n_estimators': 300}"
liver,forma,XGBoost,4,0.341,0.021,0.356,0.358,0.527,0.363,0.356,0.685,"{'xgb__max_depth': 3, 'xgb__n_estimators': 100}"
liver,combinado,SVM,4,0.401,0.055,0.437,0.343,0.692,0.405,0.437,0.78,"{'svm__C': 1, 'svm__kernel': 'rbf'}"
liver,combinado,RandomForest,4,0.383,0.056,0.411,0.338,0.525,0.391,0.411,0.757,"{'rf__max_depth': 5, 'rf__n_estimators': 100}"
liver,combinado,XGBoost,4,0.347,0.019,0.404,0.428,0.596,0.447,0.404,0.73,"{'xgb__max_depth': 5, 'xgb__n_estimators': 300}"
spleen,intensidade,SVM,5,0.478,0.079,0.186,0.086,0.489,0.342,0.186,0.569,"{'svm__C': 0.1, 'svm__kernel': 'linear'}"
spleen,intensidade,RandomForest,5,0.393,0.12,0.313,0.233,0.514,0.371,0.313,0.699,"{'rf__max_depth': 5, 'rf__n_estimators': 300}"
spleen,intensidade,XGBoost,5,0.345,0.056,0.366,0.362,0.466,0.337,0.366,0.693,"{'xgb__max_depth': 3, 'xgb__n_estimators': 100}"
spleen,textura,SVM,5,0.386,0.067,0.437,0.244,0.609,0.393,0.437,0.735,"{'svm__C': 0.1, 'svm__kernel': 'linear'}"
spleen,textura,RandomForest,5,0.351,0.118,0.327,0.275,0.538,0.351,0.327,0.657,"{'rf__max_depth': 5, 'rf__n_estimators': 300}"
spleen,textura,XGBoost,5,0.374,0.059,0.374,0.387,0.547,0.418,0.374,0.678,"{'xgb__max_depth': 3, 'xgb__n_estimators': 300}"
spleen,forma,SVM,5,0.411,0.076,0.415,0.18,0.541,0.399,0.415,0.715,"{'svm__C': 0.1, 'svm__kernel': 'linear'}"
spleen,forma,RandomForest,5,0.383,0.128,0.367,0.29,0.538,0.383,0.367,0.719,"{'rf__max_depth': 5, 'rf__n_estimators': 100}"
spleen,forma,XGBoost,5,0.356,0.05,0.318,0.304,0.596,0.392,0.318,0.675,"{'xgb__max_depth': 3, 'xgb__n_estimators': 300}"
spleen,combinado,SVM,5,0.427,0.074,0.418,0.324,0.533,0.352,0.418,0.733,"{'svm__C': 0.1, 'svm__kernel': 'rbf'}"
spleen,combinado,RandomForest,5,0.338,0.07,0.381,0.352,0.532,0.359,0.381,0.714,"{'rf__max_depth': 5, 'rf__n_estimators': 100}"
spleen,combinado,XGBoost,5,0.367,0.035,0.385,0.405,0.506,0.408,0.385,0.689,"{'xgb__max_depth': 3, 'xgb__n_estimators': 300}"
